;;;2019.01.28;16:57:10
;;;;
MAX6675;test;;;
1;29,25;;MEDIA;29,39
2;29,25;;DEVIAZIONE STANDARD;0,26
3;29,75;;;
4;29,75;;;
5;29,75;;;
6;29,25;;;
7;29,75;;;
8;29,5;;;
9;29,75;;;
10;29,75;;;
11;29,5;;;
12;29;;;
13;29,5;;;
14;29,5;;;
15;29,75;;;
16;29,5;;;
17;29,5;;;
18;29;;;
19;29,25;;;
20;29,25;;;
21;29,5;;;
22;29,25;;;
23;29,5;;;
24;29,5;;;
25;29;;;
26;29,5;;;
27;29;;;
28;29,5;;;
29;29,5;;;
30;29,5;;;
31;29;;;
32;29,5;;;
33;29,5;;;
34;29,25;;;
35;29,25;;;
36;29,5;;;
37;29,5;;;
38;29,5;;;
39;29,5;;;
40;29;;;
41;29,5;;;
42;29,5;;;
43;29,25;;;
44;29,5;;;
45;29;;;
46;29,5;;;
47;28,75;;;
48;28,75;;;
49;29,5;;;
